ford_category,SAE_average,NZ_current,NZ_proposed,SAE_average_jackknife_SE
Natural_sciences,0.27422154411742855,0.3153488753612956,0.3198864613473892,0.003556155001383117
Engineering_tech,0.2159587104782763,0.20885056069470467,0.27652441779041437,0.013776393245053935
Medical_health,0.1963758090554094,0.1790017935069808,0.17442980118754473,0.009354904454286082
Agricultural_sciences,0.06544731053885933,0.21485210777728028,0.15452073051119614,0.005058112436849036
Social_sciences,0.16360230444400728,0.06457541693620976,0.05798724689463511,0.005949139409046912
Humanities,0.084394321366019,0.01737124572352897,0.016651342268820542,0.002738687430348274
