entity,GAK_percent,n_years
Luxembourg,38.17272057880887,7
New Zealand,40.93820522703057,7
Belgium,42.70044176574678,7
Estonia,45.85981689317434,7
Finland,51.36727533613985,7
Ireland,52.13308052224548,7
Denmark,60.06453092662979,7
Iceland,66.15923758244364,7
Austria,68.87715439840149,7
Lithuania,70.68236664210949,7
Netherlands,71.59261278670505,7
Sweden,72.81001828137084,7
Switzerland,89.96323687250612,4
